Attempt,Algorithm,Length,Time,,,,,,,,,,
26,A*,8,0.00013,,,,,,,,,,
26,A*,9,0.00017,,,,,,,,,,
26,A*,10,0.00028,,,,,,,,,,
26,A*,11,0.00057,,,,,,,,,,
26,A*,12,0.00105,,,,,,,,,,
26,A*,13,0.00039,,,,,,,,,,
26,A*,14,0.00012,,,,,,,,,,
26,A*,15,0.00013,,,,,,,,,,
26,A*,16,0.00025,,,,,,,,,,
26,A*,17,0.00014,,,,,,,,,,
26,A*,18,2.00E-05,,,,,,,,,,
26,A*,19,0.00073,,,,,,,,,,
26,A*,20,0.00054,,,,,,,,,,
27,A*,3,0.00011,,,,,,,,,,
27,A*,4,0.00018,,,,,,,,,,
27,A*,5,0.00046,,,,,,,,,,
27,A*,6,9.00E-05,,,,,,,,,,
27,A*,7,0.00024,,,,,,,,,,
27,A*,8,0.00011,,,,,,,,,,
27,A*,9,0.00042,,,,,,,,,,
27,A*,10,0.00015,,,,,,,,,,
27,A*,11,0.0003,,,,,,,,,,
28,A*,3,0.0001,,,,,,,,,,
28,A*,4,0.00025,,,,,,,,,,
28,A*,5,0.00031,,,,,,,,,,
28,A*,6,0.00019,,,,,,,,,,
28,A*,7,0.00018,,,,,,,,,,
28,A*,8,0.00013,,,,,,,,,,
28,A*,9,6.00E-05,,,,,,,,,,
28,A*,10,0.00028,,,,,,,,,,
28,A*,11,0.00016,,,,,,,,,,
28,A*,12,5.00E-05,,,,,,,,,,
28,A*,13,5.00E-05,,,,,,,,,,
28,A*,14,0.00067,,,,,,,,,,
28,A*,15,0.00024,,,,,,,,,,
29,A*,3,7.00E-05,,,,,,,,,,
29,A*,4,0.00027,,,,,,,,,,
29,A*,5,0.00062,,,,,,,,,,
29,A*,6,0.00027,,,,,,,,,,
29,A*,7,0.0004,,,,,,,,,,
29,A*,8,0.0003,,,,,,,,,,
29,A*,9,0.00017,,,,,,,,,,
29,A*,10,0.00021,,,,,,,,,,
29,A*,11,6.00E-05,,,,,,,,,,
29,A*,12,0.00016,,,,,,,,,,
29,A*,13,0.00051,,,,,,,,,,
29,A*,14,0.00021,,,,,,,,,,
29,A*,15,6.00E-05,,,,,,,,,,
29,A*,16,3.00E-05,,,,,,,,,,
29,A*,17,3.00E-05,,,,,,,,,,
29,A*,18,0.00028,,,,,,,,,,
29,A*,19,0.00049,,,,,,,,,,
29,A*,20,0.00016,,,,,,,,,,
29,A*,21,4.00E-05,,,,,,,,,,
29,A*,22,9.00E-05,,,,,,,,,,
29,A*,23,0.00016,,,,,,,,,,
30,A*,3,0.00012,,,,,,,,,,
30,A*,4,0.00036,,,,,,,,,,
30,A*,5,0.00075,,,,,,,,,,
30,A*,6,0.00028,,,,,,,,,,
30,A*,7,0.0001,,,,,,,,,,
30,A*,8,0.00015,,,,,,,,,,
30,A*,9,0.00012,,,,,,,,,,
30,A*,10,2.00E-05,,,,,,,,,,
30,A*,11,0.00018,,,,,,,,,,
30,A*,12,0.00019,,,,,,,,,,
30,A*,13,0.00015,,,,,,,,,,
30,A*,14,0.00042,,,,,,,,,,
30,A*,15,0.00015,,,,,,,,,,
30,A*,16,0.00031,,,,,,,,,,
30,A*,17,0.00011,,,,,,,,,,
30,A*,18,0.00016,,,,,,,,,,
30,A*,19,0.00014,,,,,,,,,,
31,A*,3,7.00E-05,,,,,,,,,,
31,A*,4,7.00E-05,,,,,,,,,,
31,A*,5,0.00026,,,,,,,,,,
31,A*,6,0.00041,,,,,,,,,,
31,A*,7,3.00E-05,,,,,,,,,,
31,A*,8,0.00069,,,,,,,,,,
31,A*,9,0.00037,,,,,,,,,,
31,A*,10,0.0003,,,,,,,,,,
31,A*,11,7.00E-05,,,,,,,,,,
31,A*,12,0.00022,,,,,,,,,,
31,A*,13,0.00021,,,,,,,,,,
31,A*,14,0.00083,,,,,,,,,,
31,A*,15,0.00017,,,,,,,,,,
31,A*,16,0.00037,,,,,,,,,,
31,A*,17,0.00029,,,,,,,,,,
31,A*,18,0.00022,,,,,,,,,,
31,A*,19,0.00025,,,,,,,,,,
31,A*,20,0.00022,,,,,,,,,,
31,A*,21,3.00E-05,,,,,,,,,,
31,A*,22,0.00026,,,,,,,,,,
31,A*,23,2.00E-05,,,,,,,,,,
32,A*,3,6.00E-05,,,,,,,,,,
